FK_ID_FORMULARIO	ID_VIVIENDA	CIUDAD	P70	P4000	P4020	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	CLASE	DOMINIO	FEX_C
410	1	FLORENCIA	1	2	2	1	2	1	1	1	3	1	1	1	52.805787281
412	1	FLORENCIA	1	1	2	1	2	1	1	1	2	1	1	1	25.052311129
413	1	FLORENCIA	1	1	2	1	2	1	1	1	2	1	1	1	55.25971978
414	1	FLORENCIA	1	1	4	1	2	1	1	1	2	1	1	1	36.226852078
415	1	FLORENCIA	1	1	4	1	3	1	1	1	3	1	1	1	47.877020647
417	1	FLORENCIA	1	1	2	1	1	1	1	1	3	1	1	1	46.370206654
418	1	FLORENCIA	1	1	4	1	1	2	2	1	2	2	1	1	23.686997207
419	1	FLORENCIA	1	1	4	1	1	1	1	1	3	1	1	1	51.613121364
420	1	FLORENCIA	1	1	2	1	2	1	1	1	3	1	1	1	33.964735458
421	1	FLORENCIA	1	1	2	1	1	1	1	1	1	1	1	1	30.928148336
422	1	FLORENCIA	1	1	2	1	2	1	1	1	3	1	1	1	39.081115963
423	1	FLORENCIA	1	1	2	1	2	1	1	1	2	1	1	1	48.295263996
424	1	FLORENCIA	1	2	2	1	1	1	1	1	3	1	1	1	48.295263996
425	1	FLORENCIA	1	1	4	1	1	1	1	1	3	1	1	1	60.142769601
426	1	FLORENCIA	1	1	2	1	1	1	1	1	3	1	1	1	53.800797416
427	1	FLORENCIA	1	1	2	1	2	1	1	1	3	1	1	1	27.187941477
428	1	FLORENCIA	1	2	1	1	1	2	1	1	3	1	1	1	55.25971978
430	1	FLORENCIA	1	1	4	1	1	1	1	1	3	1	1	1	39.129055525
431	1	FLORENCIA	1	2	4	1	1	1	1	1	2	1	1	1	49.211234569
432	1	FLORENCIA	1	1	2	1	3	1	1	1	2	1	1	1	35.438671621
434	1	FLORENCIA	1	1	4	1	1	1	1	1	1	1	1	1	55.25971978
435	1	FLORENCIA	1	1	4	1	1	2	2	1	3	1	1	1	55.25971978
436	1	FLORENCIA	1	1	2	1	2	1	1	1	3	1	1	1	28.182506693
437	1	POPAYAN	1	6	6	1	2	1	1	1	2	1	1	1	47.690484037
438	1	POPAYAN	1	2	2	1	2	2	1	1	2	2	1	1	44.537777753
439	1	POPAYAN	1	2	2	1	3	2	1	1	3	1	1	1	44.537777753
440	1	POPAYAN	1	1	2	1	3	2	1	1	2	1	1	1	50.118388157
441	1	POPAYAN	1	2	2	1	4	1	1	1	4	1	1	1	56.391221183
442	1	POPAYAN	1	3	1	1	3	2	1	1	2	1	1	1	82.906765508
444	1	POPAYAN	1	2	2	1	3	1	1	1	1	1	1	1	64.347058596
445	1	POPAYAN	1	1	4	1	2	1	1	1	2	1	1	1	62.572785894
446	1	POPAYAN	1	1	2	1	3	1	1	1	2	1	1	1	82.715940373
447	1	POPAYAN	1	1	4	1	1	1	1	1	3	1	1	1	44.537777753
448	1	POPAYAN	1	1	2	1	3	1	1	1	3	1	1	1	49.628912808
449	1	POPAYAN	1	1	2	1	3	1	1	1	3	1	1	1	92.691299688
450	1	POPAYAN	1	1	4	1	2	1	1	1	3	1	1	1	70.074371379
451	1	POPAYAN	1	2	2	1	4	2	1	1	3	1	1	1	55.255392922
452	1	POPAYAN	1	1	2	1	4	2	1	1	2	1	1	1	52.528838587
453	1	POPAYAN	1	2	2	1	3	1	1	1	3	1	1	1	57.665843352
455	1	POPAYAN	1	1	2	1	4	2	1	1	3	1	1	1	84.654369144
456	1	POPAYAN	1	2	2	1	3	1	1	1	3	1	1	1	79.073758739
457	1	POPAYAN	1	2	2	1	3	1	1	1	3	1	1	1	41.164870507
458	1	POPAYAN	1	1	2	1	3	1	1	1	2	1	1	1	52.528838587
459	1	POPAYAN	1	1	4	1	2	2	1	1	3	1	1	1	87.554294923
460	1	POPAYAN	1	1	4	1	2	2	1	1	2	1	1	1	42.265475346
461	1	VALLEDUPAR	1	1	4	1	1	1	1	1	3	1	1	1	93.681647951
462	1	VALLEDUPAR	1	2	2	1	3	1	1	1	3	1	1	1	105.33584848
463	1	VALLEDUPAR	1	2	4	1	1	1	1	1	3	1	1	1	125.2533107
464	1	VALLEDUPAR	1	1	2	1	3	1	1	1	3	1	1	1	112.74961051
465	1	VALLEDUPAR	1	1	2	1	3	1	1	1	3	1	1	1	60.699056226
466	1	VALLEDUPAR	1	2	4	1	2	1	1	1	3	1	1	1	115.22682435
467	1	VALLEDUPAR	1	1	2	1	1	1	1	1	3	1	1	1	127.73052454
470	1	VALLEDUPAR	1	1	2	1	2	1	1	1	3	1	1	1	140.70299861
473	1	VALLEDUPAR	1	1	2	1	2	1	1	1	3	1	1	1	99.849164911
474	1	VALLEDUPAR	1	2	2	1	2	1	1	1	3	1	1	1	118.02379643
475	1	VALLEDUPAR	1	1	2	1	1	1	1	1	3	1	1	1	131.89186183
477	1	VALLEDUPAR	1	1	4	1	1	1	1	1	3	1	1	1	109.45335438
478	1	VALLEDUPAR	1	1	2	1	1	1	1	1	3	1	1	1	137.94125865
480	1	VALLEDUPAR	1	1	1	1	3	1	1	1	3	1	1	1	89.229753118
482	1	VALLEDUPAR	1	2	2	1	1	1	1	1	2	1	1	1	121.27622117
483	1	VALLEDUPAR	1	1	2	1	3	1	1	1	3	1	1	1	101.64328508
484	1	VALLEDUPAR	1	1	2	1	2	1	1	1	3	1	1	1	121.39434131
485	1	VALLEDUPAR	1	1	2	1	1	1	1	1	3	1	1	1	109.66585203
486	1	VALLEDUPAR	1	1	2	1	2	1	1	1	3	1	1	1	137.94125865
487	1	MONTERIA	1	2	2	1	2	1	1	1	3	1	1	1	137.96478539
